metric,value,count,precision,recall,f1
full_data,all,9769,0.7359952324195471,0.5337078651685393,0.6187374749498998
workclass,?,569,0.5,0.3870967741935484,0.43636363636363634
workclass,Federal-gov,291,0.7303370786516854,0.6190476190476191,0.6701030927835051
workclass,Local-gov,648,0.6844919786096256,0.6772486772486772,0.6808510638297872
workclass,Private,6814,0.7831858407079646,0.4832764505119454,0.5977205571971296
workclass,Self-emp-inc,319,0.8064516129032258,0.7062146892655368,0.7530120481927711
workclass,Self-emp-not-inc,745,0.6263157894736842,0.5458715596330275,0.5833333333333334
workclass,State-gov,379,0.6285714285714286,0.673469387755102,0.6502463054187192
workclass,Without-pay,4,1.0,1.0,1.0
education,10th,284,0.6,0.1875,0.2857142857142857
education,11th,344,0.8,0.21052631578947367,0.3333333333333333
education,12th,140,0.5714285714285714,0.4444444444444444,0.5
education,1st-4th,40,0.0,1.0,0.0
education,5th-6th,103,0.5714285714285714,0.4444444444444444,0.5
education,7th-8th,203,0.6,0.3333333333333333,0.42857142857142855
education,9th,160,1.0,0.2,0.3333333333333333
education,Assoc-acdm,316,0.603448275862069,0.5,0.546875
education,Assoc-voc,408,0.7241379310344828,0.42,0.5316455696202531
education,Bachelors,1583,0.702523240371846,0.8138461538461539,0.7540983606557377
education,Doctorate,117,0.8148148148148148,0.7764705882352941,0.7951807228915663
education,HS-grad,3182,0.8673469387755102,0.16314779270633398,0.27463651050080773
education,Masters,509,0.79,0.8464285714285714,0.8172413793103448
education,Preschool,15,0.0,1.0,0.0
education,Prof-school,169,0.8492063492063492,0.8492063492063492,0.8492063492063492
education,Some-college,2196,0.6686046511627907,0.27710843373493976,0.39182282793867124
marital-status,Divorced,1353,0.8666666666666667,0.2727272727272727,0.4148936170212766
marital-status,Married-AF-spouse,5,1.0,0.5,0.6666666666666666
marital-status,Married-civ-spouse,4452,0.7272727272727273,0.5851662404092072,0.6485260770975056
marital-status,Married-spouse-absent,140,0.6,0.3,0.4
marital-status,Never-married,3192,0.9090909090909091,0.1986754966887417,0.32608695652173914
marital-status,Separated,317,0.7692307692307693,0.4166666666666667,0.5405405405405406
marital-status,Widowed,310,1.0,0.25925925925925924,0.4117647058823529
occupation,?,569,0.5,0.3870967741935484,0.43636363636363634
occupation,Adm-clerical,1118,0.6567164179104478,0.30344827586206896,0.41509433962264153
occupation,Armed-Forces,3,1.0,1.0,1.0
occupation,Craft-repair,1211,0.7631578947368421,0.21245421245421245,0.332378223495702
occupation,Exec-managerial,1209,0.7955911823647295,0.7001763668430335,0.7448405253283302
occupation,Farming-fishing,294,0.5,0.3055555555555556,0.3793103448275862
occupation,Handlers-cleaners,409,0.7777777777777778,0.2916666666666667,0.42424242424242425
occupation,Machine-op-inspct,567,0.5217391304347826,0.16,0.24489795918367346
occupation,Other-service,1016,0.45454545454545453,0.13513513513513514,0.20833333333333334
occupation,Priv-house-serv,41,1.0,1.0,1.0
occupation,Prof-specialty,1246,0.7559322033898305,0.7824561403508772,0.7689655172413793
occupation,Protective-serv,223,0.5681818181818182,0.36764705882352944,0.44642857142857145
occupation,Sales,1069,0.7087378640776699,0.5270758122743683,0.6045548654244306
occupation,Tech-support,280,0.7111111111111111,0.42105263157894735,0.5289256198347108
occupation,Transport-moving,514,0.7297297297297297,0.2621359223300971,0.38571428571428573
relationship,Husband,3907,0.729864575908767,0.5881677197013211,0.6513994910941476
relationship,Not-in-family,2550,0.92,0.2490974729241877,0.39204545454545453
relationship,Other-relative,272,0.5,0.4,0.4444444444444444
relationship,Own-child,1519,0.8333333333333334,0.22727272727272727,0.35714285714285715
relationship,Unmarried,1035,0.7,0.25925925925925924,0.3783783783783784
relationship,Wife,486,0.7168674698795181,0.5666666666666667,0.6329787234042553
race,Amer-Indian-Eskimo,106,0.7142857142857143,0.38461538461538464,0.5
race,Asian-Pac-Islander,291,0.63,0.7241379310344828,0.6737967914438503
race,Black,895,0.6571428571428571,0.5054945054945055,0.5714285714285714
race,Other,79,0.5454545454545454,0.6,0.5714285714285714
race,White,8398,0.7483221476510067,0.5276857548509228,0.6189286705523175
sex,Female,3238,0.7373737373737373,0.4294117647058823,0.5427509293680297
sex,Male,6531,0.7358108108108108,0.5516717325227963,0.6305732484076433
native-country,?,178,0.66,0.66,0.66
native-country,Cambodia,5,1.0,0.5,0.6666666666666666
native-country,Canada,37,0.5833333333333334,0.5833333333333334,0.5833333333333334
native-country,China,23,0.8333333333333334,1.0,0.9090909090909091
native-country,Columbia,13,0.0,0.0,0.0
native-country,Cuba,30,0.875,0.7777777777777778,0.8235294117647058
native-country,Dominican-Republic,19,1.0,1.0,1.0
native-country,Ecuador,8,1.0,0.6666666666666666,0.8
native-country,El-Salvador,30,0.5,0.6666666666666666,0.5714285714285714
native-country,England,25,0.7142857142857143,0.7142857142857143,0.7142857142857143
native-country,France,8,0.0,0.0,0.0
native-country,Germany,42,0.8,0.6666666666666666,0.7272727272727273
native-country,Greece,8,0.6666666666666666,1.0,0.8
native-country,Guatemala,17,1.0,0.0,0.0
native-country,Haiti,12,1.0,1.0,1.0
native-country,Honduras,5,1.0,1.0,1.0
native-country,Hong,9,0.5,1.0,0.6666666666666666
native-country,Hungary,3,0.5,0.5,0.5
native-country,India,31,0.5,0.7777777777777778,0.6086956521739131
native-country,Iran,14,0.5,0.6,0.5454545454545454
native-country,Ireland,6,1.0,1.0,1.0
native-country,Italy,23,0.6666666666666666,0.5714285714285714,0.6153846153846154
native-country,Jamaica,25,0.0,0.0,0.0
native-country,Japan,15,0.75,0.75,0.75
native-country,Laos,6,1.0,0.0,0.0
native-country,Mexico,175,0.2857142857142857,0.2857142857142857,0.2857142857142857
native-country,Nicaragua,11,0.0,1.0,0.0
native-country,Outlying-US(Guam-USVI-etc),1,1.0,1.0,1.0
native-country,Peru,9,1.0,1.0,1.0
native-country,Philippines,51,0.7727272727272727,0.85,0.8095238095238095
native-country,Poland,17,0.25,0.5,0.3333333333333333
native-country,Portugal,9,1.0,0.0,0.0
native-country,Puerto-Rico,29,0.8571428571428571,0.8571428571428571,0.8571428571428571
native-country,Scotland,5,1.0,1.0,1.0
native-country,South,18,0.2,0.5,0.2857142857142857
native-country,Taiwan,16,0.6,1.0,0.75
native-country,Thailand,7,0.5,1.0,0.6666666666666666
native-country,Trinadad&Tobago,5,1.0,1.0,1.0
native-country,United-States,8807,0.7501711156741958,0.5191852202747513,0.6136618141097424
